WARD,Population
29300013,20394
29300014,13035
29300015,15287
29300016,9186
29300017,15611
29300018,16937
29300019,11546
29300020,11391
29300021,13937
29300022,15583
29300023,13585
29300024,14605
29300025,16890
29300026,11590
29300027,14455
29300028,17680
29300029,20526
29300030,14957
29300031,20816
29300032,22827
29300033,17629
29300034,21649
29300035,19679
29300036,13736
29300037,19509
29300038,17632
29300039,17308
29300040,27014
29300041,49736
29300042,19191
29300043,16392
29300044,26152
29300045,20835
29300046,18403
29300047,15247
29300048,16199
29300049,18595
29300050,25143
29300051,24245
29300052,23583
29300053,31752
29300054,25244
29300055,26472
29300056,24179
29300057,16583
29300058,17443
29300059,16820
29300060,25143
30601001,2103
30601002,3731
30601003,3160
30601004,2988
30602001,5489
30602002,5477
30602003,4684
30602004,3815
30602005,5267
30602006,6111
30602007,5246
30602008,5386
30602009,5566
30604001,2027
30604002,3262
30604003,2630
30604004,2268
30605001,3944
30605002,5624
30605003,4004
30605004,4484
30605005,3523
30606001,3368
30606002,3029
30606003,3071
30606004,3121
30607001,3520
30607002,2585
30607003,2957
30607004,3403
30701001,5122
30701002,5350
30701003,4714
30701004,3415
30702001,6558
30702002,4560
30702003,6816
30702004,6078
30702005,4365
30703001,5173
30703002,7996
30703003,5418
30703004,5353
30703005,6050
30703006,6178
30703007,6188
30704001,2750
30704002,3862
30704003,2169
30704004,2892
30705001,2989
30705002,4254
30705003,1587
30705004,2148
30706001,3536
30706002,4559
30706003,3264
30706004,4341
30707001,6495
30707002,3787
30707003,6380
30707004,4929
30708001,5962
30708002,4813
30708003,6999
30708004,8173
30708005,4750
30708006,6379
30801001,484
30801002,2757
30801003,2293
30801004,1469
30802001,11408
30802002,8191
30802003,9517
30802004,6375
30802005,5499
30802006,7684
30802007,4856
30802008,5660
30802009,6679
30803001,6397
30803002,7695
30803003,5328
30803004,4714
30803005,7121
30803006,6910
30803007,3626
30803008,6791
30803009,6543
30803010,10256
30803011,7538
30803012,6636
30803013,8350
30803014,5589
30804001,4345
30804002,4891
30804003,3821
30804004,3580
30805001,4021
30805002,6648
30805003,5715
30805004,5425
30805005,7743
30805006,5541
30806001,4260
30806002,2906
30806003,7009
30806004,4512
30901001,5911
30901002,11377
30901003,8480
30901004,7190
30901005,7413
30901006,7156
30901007,8777
30901008,9130
30901009,7189
30901010,6766
30901011,7388
30901012,6050
30901013,8594
30901014,6556
30901015,7253
30901016,13043
30901017,10659
30901018,4518
30901019,6865
30901020,7743
30901021,8454
30901022,9685
30901023,5669
30901024,5966
30901025,8688
30901026,9679
30901027,10540
30901028,9529
30901029,1910
30901030,9891
30901031,9970
30902001,5762
30902002,6783
30902003,8905
30902004,6250
30902005,7626
30902006,4847
30902007,6667
30903001,7517
30903002,4940
30903003,2570
30903004,6037
30903005,3140
30904001,8209
30904002,5257
30904003,4571
30904004,5867
30904005,9371
30904006,3297
30904007,9342
30904008,9243
30904009,7844
34501001,5533
34501002,5887
34501003,5640
34501004,6803
34501005,5882
34501006,5970
34501007,4550
34501008,5210
34501009,7411
34501010,6728
34501011,5589
34501012,5762
34501013,7438
34501014,5182
34501015,5945
34502001,6121
34502002,8751
34502003,9996
34502004,5824
34502005,3292
34502006,8819
34502007,5819
34502008,5991
34502009,3784
34502010,11176
34502011,6933
34502012,10294
34502013,6851
34503001,11552
34503002,7909
34503003,6242
34503004,8015
34503005,7899
41601001,5888
41601002,6735
41601003,7273
41601004,5734
41601005,6657
41601006,6340
41602001,6231
41602002,6874
41602003,6736
41602004,5682
41602005,5738
41602006,5729
41602007,5720
41602008,6460
41603001,6181
41603002,7370
41603003,6307
41603004,2982
41603005,4762
41603006,6543
41604001,8447
41604002,5325
41604003,5471
41604004,5070
41801001,4788
41801002,7652
41801003,6857
41801004,4410
41801005,10104
41801006,5222
41801007,6604
41801008,4814
41801009,7772
41801010,5110
41802001,7082
41802002,8509
41802003,8600
41802004,4795
41803001,4974
41803002,4700
41803003,6321
41803004,7453
41803005,7287
41803006,5739
41803007,5492
41803008,5660
41804001,11741
41804002,12591
41804003,13988
41804004,11727
