WARD,Population
93502018,7061
93502019,7204
93503001,10465
93503002,8908
93503003,5914
93503004,7171
93503005,4930
93503006,8499
93503007,10117
93503008,9765
93503009,8043
93503010,7883
93503011,5060
93503012,8380
93503013,7094
93503014,6092
93504001,20532
93504002,15742
93504003,11435
93504004,16508
93504005,17183
93504006,19745
93504007,14291
93504008,39500
93504009,13532
93504010,15360
93504011,18334
93504012,8848
93504013,12863
93504014,17776
93504015,12522
93504016,21659
93504017,16093
93504018,15965
93504019,18259
93504020,28150
93504021,6562
93504022,17440
93504023,18970
93504024,15724
93504025,25869
93504026,7096
93504027,22115
93504028,13782
93504029,10277
93504030,11809
93504031,18748
93504032,16043
93504033,16264
93504034,15436
93504035,12731
93504036,15814
93504037,16044
93504038,13978
93505001,8021
93505002,8697
93505003,7564
93505004,6758
93505005,7066
93505006,7940
93505007,8120
93505008,9656
93505009,8093
93505010,5763
93505011,7032
93505012,6279
93505013,7313
93505014,8011
93505015,10938
93505016,8816
93505017,9710
93505018,6078
93505019,9844
93505020,7708
93505021,7272
93505022,10415
93505023,7604
93505024,5704
93505025,8079
93505026,11302
93505027,7750
93505028,6794
93505029,6022
93601001,7674
93601002,9904
93601003,11242
93601004,4628
93601005,3965
93601006,4407
93601007,11865
93601008,5826
93601009,14597
93601010,4144
93601011,3867
93601012,3115
93602001,17413
93602002,13442
93602003,11138
93602004,8358
93602005,7859
93602006,6313
93602007,7347
93602008,8839
93602009,8942
93602010,8790
93602011,9255
93602012,8070
93604001,13046
93604002,6038
93604003,5556
93604004,3829
93604005,7171
93605001,10028
93605002,6513
93605003,6897
93605004,4551
93605005,12212
93605006,9577
93605007,7957
93605008,6107
93605009,4673
93606001,12197
93606002,7896
93606003,5833
93606004,13229
93606005,4580
93606006,5791
93606007,8776
93606008,6045
93606009,2153
93607001,9693
93607002,8588
93607003,9823
93607004,9176
93607005,7225
93607006,9516
93607007,10274
93607008,7755
93607009,8617
93607010,7729
93607011,9724
93607012,10646
93607013,10517
93607014,8421
93607015,7701
93607016,9168
93607017,8801
93607018,11668
93607019,8555
93607020,10237
93607021,6144
93607022,9421
93607023,8163
93607024,12156
93607025,10981
93607026,5956
93607027,9456
93607028,12595
93607029,11441
93607030,8423
93607031,20770
93607032,8343
94701001,6445
94701002,5971
94701003,9600
94701004,6995
94701005,10021
94701006,7904
94701007,5077
94701008,8238
94701009,8735
94701010,8034
94701011,6637
94701012,8565
94701013,6918
94701014,5926
94701015,9668
94701016,8912
94702001,11509
94702002,5590
94702003,6919
94702004,5296
94702005,8687
94702006,6469
94702007,11467
94702008,6309
94702009,11206
94702010,9631
94702011,4724
94702012,9703
94702013,4130
94702014,12943
94702015,8479
94702016,8751
94702017,6557
94702018,7055
94702019,7869
94702020,10400
94702021,10349
94702022,5385
94702023,7004
94702024,10603
94702025,7875
94702026,5643
94702027,11317
94702028,9398
94702029,9893
94702030,8202
94703001,10055
94703002,7424
94703003,10345
94703004,8245
94703005,8644
94703006,8080
94703007,6198
94703008,14315
94703009,10415
94703010,6920
94703011,6249
94703012,9008
94703013,11389
94703014,6466
94703015,7122
94703016,7244
94703017,9341
94703018,10290
94703019,9861
94703020,9214
94703021,10381
94703022,7817
94703023,10929
94703024,7874
94703025,10107
94703026,9170
94703027,8115
94703028,11207
94703029,6517
94703030,8562
94703031,6853
94704001,6087
94704002,8024
94704003,7432
94704004,5994
94704005,5984
94704006,8564
94704007,8284
94704008,6930
94704009,6445
94704010,5362
94704011,9448
94704012,8005
94704013,7237
94705001,8401
94705002,14989
94705003,9693
94705004,5079
94705005,14040
94705006,9030
94705007,12083
94705008,11294
94705009,11608
94705010,12579
94705011,7414
94705012,8797
94705013,17007
94705014,12606
94705015,8288
94705016,8142
94705017,11534
94705018,11950
94705019,10799
94705020,12210
94705021,6490
94705022,8634
94705023,9620
94705024,8951
94705025,14060
94705026,7707
94705027,12464
94705028,11741
94705029,11520
94705030,13795
94705031,13150
